scorer,DLC_resnet50_FullDatasetDec12shuffle100_100000,DLC_resnet50_FullDatasetDec12shuffle100_100000,DLC_resnet50_FullDatasetDec12shuffle100_100000,DLC_resnet50_FullDatasetDec12shuffle100_100000,DLC_resnet50_FullDatasetDec12shuffle100_100000,DLC_resnet50_FullDatasetDec12shuffle100_100000
bodyparts,nose,nose,nose,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood
0,791.4798583984375,786.464599609375,0.8993968367576599,672.5043334960938,684.1951293945312,0.9331284165382385
1,801.3553466796875,753.575439453125,0.93198162317276,666.77294921875,686.0444946289062,0.8787937164306641
2,805.2631225585938,723.1098022460938,0.9034388661384583,660.3890991210938,687.3292846679688,0.8358863592147827
3,801.9607543945312,699.19384765625,0.8994467258453369,654.9762573242188,688.9708862304688,0.8387975692749023
4,797.2033081054688,679.2300415039062,0.776564359664917,655.0670776367188,692.3544311523438,0.7559295892715454
5,796.670654296875,663.2281494140625,0.8134681582450867,603.1200561523438,1516.9781494140625,0.20837141573429108
6,795.82177734375,652.3850708007812,0.7233216762542725,603.5219116210938,1517.1185302734375,0.24089296162128448
7,800.08349609375,647.1010131835938,0.8115782737731934,611.2186889648438,1522.0927734375,0.218768909573555
8,804.0938720703125,640.0018310546875,0.8405892252922058,611.3388671875,1522.1396484375,0.15890958905220032
9,800.4387817382812,636.1754150390625,0.7231583595275879,607.72802734375,1520.134765625,0.21087302267551422
10,798.0872802734375,634.583740234375,0.6948787569999695,607.848876953125,1520.0146484375,0.21952714025974274
11,795.896484375,630.197509765625,0.7444519996643066,608.036865234375,1519.9617919921875,0.2472487986087799
12,798.9894409179688,621.1605834960938,0.626200795173645,628.8443603515625,722.377685546875,0.907281756401062
13,799.7079467773438,619.74267578125,0.801672637462616,627.4521484375,735.4669799804688,0.7912845611572266
14,796.3209228515625,617.8121948242188,0.6764005422592163,627.43798828125,748.9500122070312,0.8581840991973877
15,785.3029174804688,615.3742065429688,0.8476170897483826,629.075927734375,758.3568115234375,0.9221044182777405
16,779.6655883789062,611.5618896484375,0.8079327344894409,636.7442626953125,771.0570068359375,0.8716926574707031
17,764.7354125976562,606.6320190429688,0.7735649347305298,642.194580078125,783.4168090820312,0.9027323722839355
18,746.8067016601562,603.2694702148438,0.6748303174972534,648.7764282226562,791.7562255859375,0.864313006401062
19,723.0675659179688,600.4606323242188,0.8228398561477661,659.8265380859375,797.0947265625,0.914277970790863
20,705.4972534179688,598.5223999023438,0.8921263813972473,667.8113403320312,798.05712890625,0.8039725422859192
21,690.4564208984375,597.404541015625,0.906545102596283,674.2169189453125,799.7093505859375,0.8952383399009705
22,676.7926635742188,596.3646850585938,0.9109184741973877,680.331787109375,797.1635131835938,0.7752271294593811
23,661.4625854492188,599.7753295898438,0.8720472455024719,691.4613647460938,794.7379760742188,0.8856633305549622
24,644.4439697265625,607.7332763671875,0.8644436001777649,697.7554931640625,792.9838256835938,0.8492498993873596
25,627.2360229492188,617.60986328125,0.8539887070655823,705.710205078125,791.732177734375,0.9403537511825562
26,613.8196411132812,624.218994140625,0.8506131172180176,709.2874145507812,790.770751953125,0.9617681503295898
27,604.8832397460938,638.3673706054688,0.8182178735733032,716.342041015625,788.1595458984375,0.8949716687202454
28,595.4959106445312,656.273193359375,0.9369443655014038,722.5081176757812,783.4137573242188,0.9377560019493103
29,591.4224853515625,682.6578979492188,0.8697868585586548,730.3995971679688,780.2879638671875,0.7945218682289124
30,589.1925659179688,709.8390502929688,0.9009024500846863,735.8849487304688,778.9522094726562,0.8953557014465332
31,590.6395874023438,734.2147827148438,0.9388070702552795,738.802978515625,778.9527587890625,0.8443841934204102
32,601.2158813476562,761.6610107421875,0.8254998326301575,737.8267211914062,775.7802734375,0.8363615870475769
33,610.2015991210938,783.989501953125,0.8486046195030212,738.8046875,772.1365966796875,0.9001073241233826
