scorer,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000,DLC_resnet50_Circling_FinalJul23shuffle4_100000
bodyparts,nose,nose,nose,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood
0,793.0957641601562,724.203125,0.967239260673523,658.8334350585938,680.6480102539062,0.9696816205978394
1,800.9382934570312,724.203125,0.9691823124885559,658.8334350585938,683.1569213867188,0.9536877870559692
2,800.9382934570312,724.203125,0.9542517066001892,658.8334350585938,685.1539306640625,0.9658074975013733
3,800.9382934570312,695.5700073242188,0.7367467880249023,653.39013671875,689.0731201171875,0.9616333842277527
4,798.2612915039062,676.6071166992188,0.9576597213745117,649.6445922851562,690.0532836914062,0.9520208835601807
5,798.2612915039062,661.7308349609375,0.970231831073761,647.7157592773438,690.2451782226562,0.936471700668335
6,798.2612915039062,652.5579833984375,0.956557035446167,647.4749145507812,690.6863403320312,0.8792624473571777
7,800.820556640625,647.1751098632812,0.9753113389015198,647.259521484375,691.1649169921875,0.8238098621368408
8,800.820556640625,639.802490234375,0.9696083068847656,646.69189453125,692.6796875,0.8352383971214294
9,800.820556640625,636.2301635742188,0.9652607440948486,644.2078247070312,696.1649780273438,0.6789708137512207
10,798.58203125,634.0523681640625,0.9509695768356323,640.7166137695312,699.739501953125,0.8714821338653564
11,798.4279174804688,628.1695556640625,0.947329580783844,631.9308471679688,712.2723388671875,0.35234227776527405
12,797.9785766601562,621.1107788085938,0.9518053531646729,627.6859741210938,722.0240478515625,0.9701324105262756
13,795.112548828125,616.4885864257812,0.9441786408424377,627.6859741210938,735.0068359375,0.9655407071113586
14,794.1838989257812,614.4360961914062,0.9154030680656433,627.6859741210938,747.0576171875,0.9622880816459656
15,785.3262329101562,611.3267211914062,0.9707169532775879,629.6798706054688,757.6605224609375,0.9746647477149963
16,777.6492919921875,608.7332153320312,0.9490951895713806,636.6585083007812,770.5833740234375,0.9697780013084412
17,765.1646118164062,605.1480102539062,0.9545568227767944,641.3336181640625,782.0732421875,0.9670869708061218
18,746.4927368164062,602.5396728515625,0.9397382140159607,651.4109497070312,791.4169921875,0.9663110375404358
19,722.4949340820312,599.5280151367188,0.9788126945495605,657.9862670898438,796.014892578125,0.9632740020751953
20,704.7672119140625,597.9644165039062,0.977268636226654,666.3643188476562,796.93603515625,0.9399866461753845
21,690.2401123046875,597.9644165039062,0.9780769348144531,672.5431518554688,796.93603515625,0.9405099749565125
22,675.9685668945312,597.9644165039062,0.9781824350357056,679.3283081054688,796.93603515625,0.9065850377082825
23,661.156005859375,599.6964721679688,0.9802883863449097,687.7349243164062,793.2327880859375,0.9463973641395569
24,642.3340454101562,609.0420532226562,0.9833782911300659,695.8451538085938,792.6187744140625,0.9411336183547974
25,626.624755859375,618.566162109375,0.9737034440040588,702.9888916015625,790.49560546875,0.9761802554130554
26,613.6305541992188,627.179931640625,0.9811236262321472,708.95361328125,788.4334106445312,0.9787158966064453
27,605.585693359375,638.0100708007812,0.9733445048332214,713.7281494140625,787.1365966796875,0.9657899141311646
28,596.0635375976562,657.6879272460938,0.9836094379425049,722.4071655273438,782.6135864257812,0.9689712524414062
29,591.5881958007812,683.9853515625,0.9708566069602966,728.6661376953125,779.3439331054688,0.9614455103874207
30,591.5881958007812,711.033203125,0.9809311032295227,735.4179077148438,778.9338989257812,0.9636761546134949
31,591.5881958007812,736.1914672851562,0.9813880920410156,738.196044921875,776.4660034179688,0.9645158052444458
32,597.828369140625,762.12841796875,0.9790862202644348,738.2870483398438,773.281494140625,0.9723755717277527
33,609.494384765625,785.864013671875,0.9822313189506531,738.7573852539062,769.7162475585938,0.9663772583007812
